var1,var2,var3
1735819;1;0
1737371;2;0
1738084;3;0
1849523;41;0
1852250;42;0
1855189;43;0
1858157;44;0
1861077;45;0
1864032;46;0
1866978;47;0
1869933;48;0
1872882;49;0
1875842;50;0
1878801;51;0
1881752;52;0
1884695;53;0
1887651;54;0
1890605;55;0
1893544;56;0
1896508;57;0
1899455;58;0
1902408;59;0
1905359;60;0
1908314;61;0
1911260;62;0
1914210;63;0
1917159;64;0
1920114;65;0
1923059;66;0
1926007;67;0
1928976;68;0
1931904;69;0
1934909;70;0
1937818;71;0
1940762;72;0
1943708;73;0
1946696;74;0
1949611;75;0
1952591;76;0
1955518;77;0
1958491;78;0
1961425;79;0
1964362;80;0
1967339;81;0
1970288;82;0
1973220;83;0
1976188;84;0
1979121;85;0
1982492;86;0
1985031;87;0
1987992;88;0
1990926;89;0
1993895;90;0
1996849;91;0
1999792;92;0
2002756;93;0
2005737;94;0
2008647;95;0
2011717;96;0
2014560;97;0
2017547;98;0
2020446;99;0
2023408;100;0
2026724;101;0
2029299;102;0
2032252;103;0
2035187;104;0
2038138;105;0
2041090;106;0
2044259;107;0
2047005;108;0
2049940;109;0
2052913;110;0
2055976;111;0
2058798;112;0
2061765;113;0
2064701;114;0
2067661;115;0
2070613;116;0
2073759;117;0
2076529;118;0
1746012;1;0
1747824;2;0
1748622;3;0
1880196;48;0
1882864;49;0
1885817;50;0
1888779;51;0
1891920;52;0
1894677;53;0
1897626;54;0
1900570;55;0
1903524;56;0
1906480;57;0
1909415;58;0
1912534;59;0
1915325;60;0
1918469;61;0
1921325;62;0
1924184;63;0
1927131;64;0
1930090;65;0
1933041;66;0
1935986;67;0
1938936;68;0
1941884;69;0
1945013;70;0
1947793;71;0
1950759;72;0
1953702;73;0
1956714;74;0
1959602;75;0
1962533;76;0
1965584;77;0
1968454;78;0
1971410;79;0
1974340;80;0
1977317;81;0
1980268;82;0
1983222;83;0
1986146;84;0
1989111;85;0
1992065;86;0
1995118;87;0
1997950;88;0
2000917;89;0
2003866;90;0
2006820;91;0
2009787;92;0
2012718;93;0
2015671;94;0
2018618;95;0
2021565;96;0
2024525;97;0
2027477;98;0
2030429;99;0
2033391;100;0
2036330;101;0
2039281;102;0
2042232;103;0
2045184;104;0
2048134;105;0
2051086;106;0
2054048;107;0
2056988;108;0
2059927;109;0
2063189;110;0
2065828;111;0
2068803;112;0
2071732;113;0
2074696;114;0
2077650;115;0
2080594;116;0
2083545;117;0
2086504;118;0
2089521;119;0
2092405;120;0
2095351;121;0
2098302;122;0
2101257;123;0
2104206;124;0
2107154;125;0
2110121;126;0
2113051;127;0
2116006;128;0
2118971;129;0
2121914;130;0
2124871;131;0
2127816;132;0
2130772;133;0
2133708;134;0
2136893;135;0
2139623;136;0
2142568;137;0
2145587;138;0
2148461;139;0
2151618;140;0
2154428;141;0
2157317;142;0
2160266;143;0
2163239;144;0
2166298;145;0
2169121;146;0
2172080;147;0
2175026;148;0
2177962;149;0
2180921;150;0
2183875;151;0
2186831;152;0
2189778;153;0
2192714;154;0
2195667;155;0
2198618;156;0
2201583;157;0
2204546;158;0
2207485;159;0
2210726;160;0
2213395;161;0
2216342;162;0
2219283;163;0
2222258;164;0
2225301;165;0
2228144;166;0
2231163;167;0
2234045;168;0
2236998;169;0
2239939;170;0
2242900;171;0
2245851;172;0
2248806;173;0
2251775;174;0
2254701;175;0
2257828;176;0
2260603;177;0
2263559;178;0
2266507;179;0
2269466;180;0
2272410;181;0
2275378;182;0
2278311;183;0
2281253;184;0
2284204;185;0
2287154;186;0
2290104;187;0
2293056;188;0
2296089;189;0
2298960;190;0
2301923;191;0
2304883;192;0
2307827;193;0
2310764;194;0
2313715;195;0
2316672;196;0
2319628;197;0
2322576;198;0
2325710;199;0
2328474;200;0
2331489;201;0
2334398;202;0
2337324;203;0
2340274;204;0
2343244;205;0
2346197;206;0
2349141;207;0
2352090;208;0
2355047;209;0
2358000;210;0
2361263;211;0
2363889;212;0
2366830;213;0
2369813;214;0
2372748;215;0
2375704;216;0
2378637;217;0
2381606;218;0
2384559;219;0
2387495;220;0
2390747;221;0
2393394;222;0
2396713;223;0
2399314;224;0
2402317;225;0
2405217;226;0
2408156;227;0
2411117;228;0
2414064;229;0
2417019;230;0
2419971;231;0
2422911;232;0
2425867;233;0
2428809;234;0
2431767;235;0
2434715;236;0
2437668;237;0
2440619;238;0
2443584;239;0
2446528;240;0
2449479;241;0
2452422;242;0
2455389;243;0
2458331;244;0
2461278;245;0
2464407;246;0
2467191;247;0
2470128;248;0
2473088;249;0
2476037;250;0
2478989;251;0
2481946;252;0
2484884;253;0
2487845;254;0
2490786;255;0
2493748;256;0
2496939;257;0
2499630;258;0
2502606;259;0
2505546;260;0
2508504;261;0
2511500;262;0
2514399;263;0
2517349;264;0
2520305;265;0
2523253;266;0
2526213;267;0
2529153;268;0
2532102;269;0
2535061;270;0
2538012;271;0
2540965;272;0
2543909;273;0
2546873;274;0
2549818;275;0
2552752;276;0
2555725;277;0
2558660;278;0
2561628;279;0
2564573;280;0
2567522;281;0
2570466;282;0
2573416;283;0
2576378;284;0
2579322;285;0
2582409;286;0
